city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Kielce,0.2355679667415611,0.27997408520856154,2299860.6797890305,6601929.60198324,0.1283218852689485,0.4654596237523472
Gdynia,0.23476403084240177,0.24765110976680504,2062750.1643993584,7269336.430500093,0.38628513470868686,0.05559148387396551
Grudziadz,0.22087888032485,0.2507006449930184,2087240.45237388,7072358.036243138,0.28760642719832763,0.1459183952126073
Inowroclaw,0.1966504184233427,0.23747843615223377,2031580.706977244,6942388.698952246,0.1869058886416175,0.15714166687106101
Gliwice,0.17079412437429398,0.22998267195258867,2078334.8931104185,6503693.141553285,-0.036723780176071585,0.35306465557300815
Bytom,0.17826298709169933,0.23504829911413982,2105051.5709008025,6507111.76723892,-0.021560717139823105,0.36977914965355096
Warsaw,0.2537401758924634,0.2995885123564834,2337709.306658744,6845455.502518217,0.28408001094168434,0.3996762662887323
Elblag,0.2426053919379847,0.26740789609019794,2159898.6840146496,7206222.456153219,0.39892208434208243,0.14468504309692554
Elk,0.27049649028066997,0.3448244442236114,2487990.6192296655,7138723.764149788,0.523539579324189,0.3909811991524954
Koszalin,0.1779101517583356,0.20220383608975318,1801516.7153547846,7208125.260900677,0.22239129597604368,-0.09742750034810599
Setubal,0.1608901368250193,0.1443412254962699,-990743.4680601356,4654569.97589773,-2.5979203934618904,-1.021127177565905
Evora,0.16172780956248597,0.1465255325340239,-880091.8942116209,4658839.8949732,-2.5406832872722847,-0.9481947977107463
Santarem,0.13044858118499672,0.15072945648744807,-966475.8190672,4754814.562731371,-2.5294990688591934,-1.0423542525761267
Porto,0.08367979593042221,0.008399698121783374,-959574.010638018,5034491.86907103,-2.368739182499021,-1.142532940332115
Vila Real,0.09052079298721906,0.17176072010938007,-861278.9002675572,5055803.792245206,-2.308038082973767,-1.0843112625320792
Aveiro,0.08752172693222521,0.16354618449898903,-963024.9148526104,4959532.588588966,-2.412619580844911,-1.1167614434996374
Guarda,0.10376446273373656,0.16536582639891387,-808402.1421407529,4944873.198639252,-2.3442410896615278,-1.0071158788742274
Viseu,0.09144620126602654,0.16532320398299152,-880537.172174793,4961880.127634763,-2.370420943910563,-1.0620791502488185
Braganca,0.1166313658350723,0.17832211767087863,-751963.1603085644,5132262.02403087,-2.2108515928416304,-1.0393360321865663
Viana Do Castelo,0.0885867903379785,0.1731304724978053,-984520.7085247894,5115579.752987804,-2.3354838159418665,-1.1897296273744002
Braga,0.08648956528228915,0.17282085942820266,-937454.8278173959,5094551.935549667,-2.3239893869331327,-1.1501453680470908
Beja,0.18454154153848343,0.14211478580130285,-875305.15610751,4581403.7321533635,-2.581874838605546,-0.9159462043347628
Castelo Branco,0.11753524759589613,0.1582098335999462,-833560.3470600322,4838515.205288517,-2.41654299452738,-0.9841972610851357
Portalegre,0.13696851230926965,0.15361758373412054,-826324.5801584698,4763297.125604976,-2.455273055753276,-0.9511304217933194
Coimbra,0.09692978374079342,0.15999324913925897,-936942.7581597446,4895106.738753861,-2.435938602735333,-1.0750451349270596
Leiria,0.11108581531953772,0.15491964940365716,-980168.1164347724,4828086.642903768,-2.4950634043648896,-1.0790406967757158
Covilha,0.10430432696878893,0.16255728288445054,-834896.1809495508,4907196.471655306,-2.378566588897427,-1.0108399124264493
Drobeta-Turnu Severin,0.12945329087268012,0.24005185572939658,2523156.446371261,5565946.89011197,-0.3438392164913875,1.0041706615795827
Braila,0.2639404164963429,0.39292815156943917,3113494.8379970687,5667608.648196123,0.005903746657446085,1.363706993585533
Oradea,0.2138370000245494,0.26209512323490786,2440123.2381885583,5950239.167201476,-0.1687940828424841,0.8042020439815585
Timisoara,0.17591573251884615,0.22581931973027786,2362578.080901964,5741780.642586727,-0.3244963401464789,0.8301027421149463
Resita,0.15983788865610074,0.2331259353001967,2436394.035246984,5668399.873191275,-0.3291980208970422,0.9073280872536813
Calarasi,0.2024136629157282,0.3519187704065315,3041905.2734679137,5497423.285195743,-0.12531558969581713,1.3792738615843736
Arad,0.18642646183338946,0.2343791185244823,2373331.5437125918,5807633.816672968,-0.28211992773663397,0.8126632283474382
Alexandria,0.1298676958476682,0.2912444894592333,2814902.5678422716,5450227.1626262935,-0.2643613768395774,1.2440589929205088
Slobozia,0.21634010905364595,0.3612198826559405,3048150.296901416,5554078.914841605,-0.09034771132783792,1.362244937669086
Baia Mare,0.26938726111735123,0.31472610950960594,2624813.405363678,6050393.559140931,-0.020923849020570984,0.8910663609366742
Tulcea,0.2775110488307366,0.4138779909688826,3205633.9805266606,5652951.951943522,0.04331910547058815,1.4312637526412662
Ploiesti,0.1940354705631529,0.3321412694316702,2898369.922039069,5613165.8480390515,-0.1313326368026333,1.2392089531825772
Piatra-Neamt,0.3320909338320612,0.3813110209666622,2936942.1255989363,5932286.038368704,0.06731156211384715,1.1455790106091739
Suceava,0.3872236132872791,0.3907205953209412,2923171.904587808,6046791.284760731,0.12490537910379462,1.0933852153125043
Botosani,0.4226453032661219,0.4044843153204018,2967744.2287014364,6065099.163857643,0.15729338955530103,1.1165462012895273
Constanta,0.23675418985555777,0.3867134709187906,3184850.631595557,5496864.24648953,-0.0547914946756336,1.475768698161973
Buzau,0.2258928193393529,0.35766182413561154,2984085.9299498894,5646192.948578212,-0.07027461799793411,1.2845665450432882
Galati,0.27496013851403023,0.398584098608374,3122055.3068390717,5693581.443166453,0.024757666056848926,1.3597381369318415
Vaslui,0.35795993271732285,0.4142434656012153,3087256.8340170938,5882423.359279926,0.11375062341746922,1.2655175112259598
